id,Website,Article_URL,Headline,Claim_Date,Review_Date,Query/Keyword,Label_Website,Image_URL,Original_Claim_Website,Original_Claim_Only,Context/Label_Explanation,Text_Only_Claim,Normal_Image,AI_Generated_Image,Altered_Image
0,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.372Y6CV,Fake newspaper cover on Ukrainian soldiers in Kursk spreads online,2025-03-15,2025-03-19,"""War in Ukraine""",ALTERED,https://web.archive.org/web/20250708170622/https://scontent-arn2-1.xx.fbcdn.net/v/t39.30808-6/484304343_642451842044376_1862227891799489919_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=AQF6gx1x-YcQ7kNvwETthXn&_nc_oc=AdmyQn5avueVjfbAd73vfF1ieHVYNh21A86eE9m7Xk3NmnQBlMpPB8X_JJDNbK_BzjE&_nc_zt=23&_nc_ht=scontent-arn2-1.xx&_nc_gid=BKWAJi_JRI-jR90-PCMvag&oh=00_AfQfJPMoQ-UfrUCaoioCLQg_eit_H0SWZvqnR-rtXJdmPw&oe=687336CC,"""The Kursk expedition was a disaster and a complete waste of life. Britain egged it on,"" says a March 15, 2025 post on X from Ian Miles Cheong, a far-right blogger who has previously spread other misinformation -- and whose posts have been repeatedly amplified by billionaire X owner Elon Musk. The post claims to show the Hull Daily Mail, a regional newspaper serving the port city of Hull in northeastern England, saying on its front page: ""70,000 Ukrainian soldiers in the Kursk region died in vain. The UK poured hundreds of millions of pounds into Zelensky's crushing failure.""","""70,000 Ukrainian soldiers in the Kursk region died in vain. The UK poured hundreds of millions of pounds into Zelensky's crushing failure.""","But the supposed Hull Daily Mail headline blasting Zelensky over the Kursk incursion is a fabrication.
""That story re Ukraine was a fake,"" said Lija Kresowaty, a spokesperson for Reach PLC, the Hull Daily Mail's parent company, in a March 18 email.
",No,No,No,Yes
1,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36YR9KZ,"No, Zelensky hasn't bought Eagle's Nest, it is still in ownership of Bavarian state",2025-02-18,2025-02-27,"""War in Ukraine""",FALSE,,"According to the latest claims, Zelensky allegedly purchased another site steeped in history: the so-called Eagle's Nest, or Kehlsteinhaus, in Berchtesgaden in the southern German state of Bavaria, for 14.2 million euros.","According to the latest claims, Zelensky allegedly purchased another site steeped in history: the so-called Eagle's Nest, or Kehlsteinhaus, in Berchtesgaden in the southern German state of Bavaria, for 14.2 million euros.","The Eagle's Nest is in the property of the state of Bavaria. The administration of state-owned real estate is the responsibility of IMBY, which is listed in the alleged purchase agreement. On February 7, 2025, the company posted a press release on its website in which it called the claim ""deliberate misinformation"". The Eagle's Nest ""continues to be owned by the Free State of Bavaria"", the state-owned company stated. It said that a sale had neither taken place nor was planned. IMBY also addressed details from the video: ""The alleged purchase agreement shown in the video is a forgery, and the same applies to the alleged quote from IMBY's management"". It will also take legal action against the misinformation.",Yes,No,No,No
2,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36YC3DG,Claims that Ukraine banned Truth Social are false,2025-02-20,2025-02-21,"""War in Ukraine""",FALSE,,"""BREAKING: Zelensky blocks access to President Trump's social media platform Truth Social across Ukraine,"" says a February 20, 2025 X post from conservative influencer Benny Johnson, who AFP has previously fact-checked.","""BREAKING: Zelensky blocks access to President Trump's social media platform Truth Social across Ukraine."" ","A spokesperson for Trump Media and Technology Group, which owns Truth Social, said the company has not launched the micro-blogging site in Ukraine.
""Reports that Truth Social was blocked in Ukraine are false -- Truth Social has never been available in Ukraine,"" the spokesperson said in a February 20 email.
After the claims about Zelensky banning Truth Social began circulating on social media, a spokesperson for Ukraine's foreign ministry posted on X, saying state officials had not banned the platform because it is ""unfortunately"" not available in the country (archived here).
""We would appreciate it if the Truth Social would add Ukraine to their authorized region of operations,"" foreign ministry spokesperson Heorhii Tykhyi said on February 20.",Yes,No,No,No
3,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36P98ZW,"Fake 'apocalypse' cover of The Economist circulates online

",2024-11-18,2024-12-03,"""War in Ukraine""",FALSE,https://web.archive.org/web/20250708170927/https://scontent-arn2-1.xx.fbcdn.net/v/t39.30808-6/472950587_122151330002360930_7054174540542497030_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=833d8c&_nc_ohc=VKynD_KT4WsQ7kNvwHCDlV3&_nc_oc=AdniMpD4oCtr-BLqVGt9uMzcspT6_s2zsNYqsUhvlQPEnCCayhKM_XNDqNm2_cA7ruc&_nc_zt=23&_nc_ht=scontent-arn2-1.xx&_nc_gid=u6A3XTkfx3XBiAi-jhUDEg&oh=00_AfSZclx2zycS1bOC-rtV85Xgt306Z5vVxeUS9a_1F6Ei4Q&oe=6873247F,"""APOCALYPSE: Allowing missile strikes deep into Russia is the start of World War III,' warns the iconic prophetic magazine The Economist,"" says a November 18, 2024 https://perma.cc/K8MH-DP39.","""APOCALYPSE: Allowing missile strikes deep into Russia is the start of World War III,' warns the iconic prophetic magazine The Economist.""","However, The Economist does list Telegram among its social media channels -- and its website does not show any November 2024 covers similar to the one posted online (archived here).",No,No,No,Yes
4,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36MM6QY,Old photo misrepresented as coffins of 'British soldiers killed in Ukraine war',2024-11-03,2024-11-27,"""War in Ukraine""",FALSE,https://web.archive.org/web/20250708171047/https://images.static.press.net/v2/image/preview/0503b84fd6676c7af91213f2a1725816/2.3962551.jpg?1,"""Recently, 18 members of the British special forces successfully infiltrated Russia from Kyiv, but they all returned to their country in wooden boxes,"" read a post on Chinese platform Weibo from November 3, 2024.
Text on the picture reads: ""18 British Special Forces were killed in Ukraine. They were liquidated in the Odessa Region.""","""18 British Special Forces were killed in Ukraine. They were liquidated in the Odessa Region.""","A reverse image search and keyword searches on Google and Russian search engine Yandex found the image published on news agency PA Media's website (archived link).
According to the photo caption, it was taken by British Royal Air Force (RAF) photographer Ross Tilly on September 13, 2006 and shows the coffins of 14 British soldiers who were repatriated after they were killed in an air crash in Afghanistan.",No,Yes,No,No
5,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36LH9P7,Zelensky targeted with fake picture of 'Hitler's Mercedes at presidential palace',2024-10-08,2024-11-08,"""War in Ukraine""",FALSE,https://web.archive.org/web/20250708171152/https://pbs.twimg.com/media/DzTnadMX4AEYfc2?format=jpg&name=medium,"""Hitler's parade car was bought by Zelensky,"" says a post in the Chinese social media platform Weibo from October 8, 2024.
It showed an image of a Mercedes-Benz 770 parked outside a building, alongside a photo of Zelensky captioned: ""Zelensky purchased Hitler's car for $15 M"".
It said the vehicle's ""mystery"" owner was revealed when the Ukrainian leader ""was spotted getting out of the car in Kyiv"".","""Hitler's parade car was bought by Zelensky for $ 15 M.""",The Ukrainian Center for Combating Disinformation -- part of the country's National Security and Defense Council -- refuted the false claim that the photo showed Hitler's Mercedes at the presidential palace (archived link).,No,Yes,No,No
6,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36H63KK,"Decades-old image shows airshow collision, not 'US fighter jet shot down by Russia'

",2024-09-23,2024-09-27,"""War in Ukraine""",FALSE,https://web.archive.org/web/20250117223533/https://d3trj3zqmkebtg.cloudfront.net/pics/48/48672_big.jpg,"""A US F16 fighter jet was shot down on the 28th in airspace over the Black Sea after refusing to obey Russian orders. The video was made public,"" read the simplified Chinese caption to a TikTok video shared on September 23, 2024.
The video appears to show an image of a fighter jet in flames, followed by photos of US defence chief Lloyd Austin and Russian foreign ministry spokeswoman Maria Zakharova.","""A US F16 fighter jet was shot down on the 28th in airspace over the Black Sea after refusing to obey Russian orders.""","While a US-made F-16 -- supplied to Ukraine by its Western allies -- crashed during a combat mission in August 2024, the image shows a Russian MiG-29 that collided with another aircraft during an airshow on July 24, 1993.",No,Yes,No,No
7,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36FQ2MU,"BlackRock did not ask Ukraine to 'stop burying dead soldiers on its land'

",2024-08-03,2024-09-13,"""War in Ukraine""",FALSE,,"""BlackRock has asked that Ukrainian soldiers not be buried on the land it owns in Ukraine,"" read a simplified Chinese X post shared on August 3, 2024.
It said BlackRock representatives ""have already bought 47 percent of Ukraine's land"" and requested on a recent visit to Kyiv that ""this land not be used for burials and that the bodies be cremated or disposed of in other ways.""","""BlackRock has asked that Ukrainian soldiers not be buried on the land it owns in Ukraine.""","However, a representative for BlackRock said the claim was baseless.
""This is completely false,"" the spokesperson told AFP on August 22. ""BlackRock Inc. does not own any land in Ukraine.""
A spokesperson for the land committee of the Ukrainian Agribusiness Club (UCAB) told AFP on the same day: ""We haven't heard about anything like that.""
Frederic Mousseau, policy director at the US-based Oakland Institute think tank -- which has published reports on agricultral land reform in Ukraine -- confirmed BlackRock does not own land in the country, although it does hold other Ukrainian assets (archived link).
""According to our research over large land leases in Ukraine presented in our report; 'War and Theft, the Takeover of Ukraine's Agricultural Land', BlackRock doesn't own any land in Ukraine"", he told AFP on August 22 (archived link).
Agricultural land privatisation began in Ukraine in 2021, Mousseau said, potentially providing indirect exposure to land assets, but no single investor could reach 47 percent of the country's total land mass in this way.
Foreigners are not permitted to buy agricultural land in Ukraine and can only buy non-agricultural land if they meet certain legal conditions, according to the Land Code of Ukraine (archived link).
""BlackRock owns part of Ukraine's debt through Eurobonds, which gives the company leverage over the country,"" Mousseau added.
""Ukraine has been forced by creditors to undertake an ongoing drastic structural adjustment program aiming at privatise all sectors of its economy.""",Yes,No,No,No
8,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36FD73Z,"Photos show Chinese medics flying to epicentre of coronavirus outbreak, not 'deployed to aid Russia'

",2024-08-25,2024-09-05,"""War in Ukraine""",FALSE,https://web.archive.org/web/20250708171656/https://pbs.twimg.com/media/GVxOANvXIAAYreV?format=jpg&name=medium,"""The Chinese Communist Party's Red Cross troops in Russia have changed into winter clothes and set off for the Russian-Ukrainian front to aid Russia in rescuing its occupied territories,"" read the traditional Chinese caption to an image shared on social media platform X on August 25, 2024.
The picture appears to show people in military uniform carrying luggage on a runway, and the overlaid red text reads: ""At around 3 am, Red Cross troops departed for Russia"". It also praises ""world peace"", China-Russia relations and the People's Liberation Army.","""The Chinese Communist Party's Red Cross troops in Russia have changed into winter clothes and set off for the Russian-Ukrainian front to aid Russia in rescuing its occupied territories.""","A reverse image and subsequent keyword searches led to a video published by Chinese state-run broadcaster CGTN on its official X account on January 25, 2020 (archived link).
Its caption said 450 military doctors and medical personnel from China's three military medical universities had rushed to Wuhan to help fight the coronavirus outbreak.",No,Yes,No,No
9,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36E72JA,"Old photo of Zelensky visiting eastern Ukraine falsely linked to Kyiv's offensive in Russia

",2024-08-12,2024-08-16,"""War in Ukraine""",FALSE,https://web.archive.org/web/20250708171756/https://c10mediaforum.afp.com/CacheServer/Cache.svc/g?hid=A959ED7B7328F4635D858302875C8FB493C8DBC72758E8062E97BF313471CFE20D7C7A60322B0241FD92C8B26AF61DB4,"""Ukrainian President Volodymyr Zelensky arrived in the Sudzha of Kursk region, Russia, which had just been occupied by Ukrainian troops, and met with representatives of the people there,"" read the simplified Chinese https://perma.cc/3BTV-ZHJE  published on social media platform X on August 12, 2024.","""Ukrainian President Volodymyr Zelensky arrived in the Sudzha of Kursk region, Russia, which had just been occupied by Ukrainian troops, and met with representatives of the people there.""","A reverse image search and subsequent keyword searches on Google found the same photo -- distributed by the Ukrainian presidential office -- published in AFP's archives on May 29, 2022. 
The caption of the photo said it was taken in Kharkiv, Ukraine and showed Zelensky visiting the houses and other structures destroyed by the clashes in the city and held a meeting with army officials.",No,Yes,No,No
